"Directory","Count"
"C:\Program Files\WindowsApps\MicrosoftTeams_26031.302.4354.1119_x64__8wekyb3d8bbwe","49"
"C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools\VC\Tools\Llvm\bin","49"
"C:\Program Files\dotnet\packs\Microsoft.WindowsDesktop.App.Ref\9.0.6\ref\net9.0","49"
"C:\$RECYCLE.BIN\S-1-5-21-2261595122-1654042803-1616381735-1001\$R7V529U\Scripts","48"
"C:\Program Files (x86)\Microsoft Visual Studio\2019\BuildTools\Common7\ServiceHub\Services\Microsoft.Developer.IdentityService","48"
"C:\Users\Agent Lee\AppData\Local\Temp\tmpjfkhol36\python","48"
"C:\Program Files (x86)\Google\Cloud SDK\google-cloud-sdk\platform\bundledpython","48"
"C:\Program Files (x86)\Microsoft Visual Studio\2019\BuildTools\VC\Tools\Llvm\bin","48"
"C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools\VC\Tools\Llvm\x64\bin","48"
"C:\Program Files (x86)\Microsoft\Edge\Application\145.0.3800.82","48"
"C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.8_8000.731.1532.0_x64__8wekyb3d8bbwe","47"
"C:\Program Files (x86)\Microsoft Visual Studio\2019\BuildTools\VC\Tools\Llvm\x64\bin","47"
"C:\Users\Agent Lee\mysql\mysql-commercial-9.4.0-winx64\mysql-commercial-9.4.0-winx64\bin","47"
"C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.8_8000.675.1142.0_x64__8wekyb3d8bbwe","47"
"C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.8_8000.770.947.0_x64__8wekyb3d8bbwe","47"
"C:\Program Files (x86)\Microsoft Visual Studio\2019\BuildTools\VC\Tools\MSVC\14.29.30133\bin\Hostx64\x86","47"
"C:\Program Files (x86)\Microsoft Visual Studio\2019\BuildTools\VC\Tools\MSVC\14.29.30133\bin\Hostx86\x64","47"
"C:\Program Files\WindowsApps\12030rocksdanister.LivelyWallpaper_1.0.160.0_x64__97hta09mmv6hy\Build\Plugins\WebView2","47"
"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\145.0.3800.82","46"
"C:\Program Files (x86)\Microsoft\EdgeCore\Optimized","46"
"C:\Program Files\VideoLAN\VLC\plugins\demux","46"
"C:\Program Files (x86)\Microsoft\EdgeCore\145.0.3800.82","46"
"C:\Windows\SystemApps\MicrosoftWindows.Client.Core_cw5n1h2txyewy","46"
"C:\Program Files (x86)\Microsoft Visual Studio\2022\BuildTools\Common7\IDE\CommonExtensions\Microsoft\VBCSharp\LanguageServices","45"
"C:\Program Files (x86)\Microsoft Visual Studio\2019\BuildTools\Common7\IDE\Extensions\0svlcpc5.1bz","45"
"C:\Program Files\Microsoft Office\root\Office16\WinAppSDK","44"
"C:\Program Files\Microsoft Office\root\Client","44"
"C:\Program Files (x86)\Windows Kits\10\Redist\10.0.19041.0\ucrt\DLLs\x86","43"
"C:\Windows\WinSxS\amd64_userexperience-core_31bf3856ad364e35_10.0.26100.7309_none_53f8422f7ac23449\Core","43"
"C:\Windows\WinSxS\amd64_windows-senseclient-service_31bf3856ad364e35_10.0.26100.1_none_a518656df7c165fb","43"
"C:\Program Files (x86)\Windows Kits\10\Redist\10.0.19041.0\ucrt\DLLs\arm","42"
"C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.7_7000.676.1651.0_x64__8wekyb3d8bbwe","42"
"C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.7_7000.744.1258.0_x64__8wekyb3d8bbwe","42"
"C:\Program Files\WindowsApps\Microsoft.WindowsAppRuntime.1.7_7000.770.750.0_x64__8wekyb3d8bbwe","42"
"C:\Program Files (x86)\Windows Kits\10\Redist\10.0.19041.0\ucrt\DLLs\x64","42"
"C:\Users\Agent Lee\.antigravity\extensions\ms-vscode.powershell-2025.4.0-universal\modules\PowerShellEditorServices\bin\Common","42"
"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Filters","42"
"C:\Program Files\dotnet\sdk\9.0.205\tr","42"
"C:\Program Files\dotnet\sdk\9.0.205\pl","42"
"C:\Program Files\dotnet\sdk\9.0.205\ru","42"
"C:\Program Files\dotnet\sdk\9.0.205\pt-BR","42"
"C:\Windows\WinSxS\amd64_userexperience-core_31bf3856ad364e35_10.0.26100.7705_none_53cd5d9f7ae23d89\Core","42"
"C:\Program Files\dotnet\sdk\9.0.205\zh-Hans","42"
"C:\Program Files\dotnet\sdk\9.0.205\ja","42"
"C:\Program Files\dotnet\sdk\9.0.205\it","42"
"C:\Windows\WinSxS\amd64_userexperience-core_31bf3856ad364e35_10.0.26100.7920_none_53ba30437af027f4\Core","42"
"C:\Program Files\dotnet\sdk\9.0.205\zh-Hant","42"
"C:\Program Files\dotnet\sdk\9.0.205\ko","42"
"C:\Program Files\dotnet\sdk\9.0.205\es","42"
"C:\Program Files\dotnet\sdk\9.0.205\cs","42"
"C:\Program Files\dotnet\sdk\9.0.205\de","42"
"C:\Users\Agent Lee\.cursor\extensions\ms-vscode.powershell-2025.4.0-universal\modules\PowerShellEditorServices\bin\Common","42"
"C:\Users\Agent Lee\.windsurf\extensions\ms-vscode.powershell-2025.4.0-universal\modules\PowerShellEditorServices\bin\Common","42"
"C:\Users\Agent Lee\.vscode\extensions\ms-vscode.powershell-2025.4.0\modules\PowerShellEditorServices\bin\Common","42"
"C:\Program Files\dotnet\sdk\9.0.205\fr","42"
"C:\Program Files\Microsoft Office\root\vfs\System","41"
"C:\Program Files (x86)\Windows Kits\10\Redist\ucrt\DLLs\arm","41"
"C:\Program Files\Intel\SUR\QUEENCREEK","41"
"C:\Program Files (x86)\Windows Kits\10\Redist\ucrt\DLLs\x86","41"
"C:\Program Files (x86)\Microsoft Visual Studio\2019\BuildTools\Common7\IDE\VC\vcpackages","41"
"C:\Program Files\VideoLAN\VLC\plugins\video_filter","41"
"C:\Program Files\Microsoft Office\root\Office16\PROOF","41"
